URL,Title,Localisation,Price,Chambre,Salle de bain,Type,Secteur,Salons,Surface habitable,Age de bien,Etage,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine equipee,Duplex,Meuble,Parking,Securite,Terrasse
https://www.avito.ma/fr/quartier_de_l'oc%C3%A9an/appartements/RBA_HA_1054___Appartement_%C3%A0_vendre_%C3%A0_L_Ocean_54936810.htm,RBA-HA-1054 - Appartement à vendre à L'Ocean,rabat,1200000.0,1,1,Vendre,quartier de l'océan,0.0,84.0,0.0,5,True,True,False,False,False,False,False,False,True,False,True
https://www.avito.ma/fr/guich_oudaya/appartements/RBA_SKH_TE_1053___Appartement_%C3%A0_vendre_%C3%A0_Guich_O____54932352.htm,RBA-SKH-TE-1053 - Appartement à vendre à Guich O...,rabat,1750000.0,3,2,Vendre,guich oudaya,3.0,90.0,3.0,2,False,True,False,False,False,False,False,False,False,False,True
https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_%C3%A0_vendre_63_m%C2%B2_%C3%A0_Agadir_55682805.htm,Appartement à vendre 63 m² à Agadir,agadir,600000.0,2,1,Vendre,hay mohammadi,1.0,60.0,2.0,3,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_81_m%C2%B2_%C3%A0_Dar_Bouazza_55714260.htm,Appartement à vendre 81 m² à Dar Bouazza,dar bouazza,1350000.0,2,2,Vendre,toute la ville,1.0,81.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_81_m%C2%B2_avec_piscine_a_gueliz_33066805.htm,Appartement 81 m² avec piscine a gueliz,marrakech,769500.0,2,1,Vendre,guéliz,1.0,81.0,2.0,3,True,False,False,False,False,False,False,False,True,False,False
https://www.avito.ma/fr/a%C3%AFn_diab/appartements/Appartement_%C3%A0_vendre_142_m%C2%B2_%C3%A0_Casablanca_50507466.htm,Appartement à vendre 142 m² à Casablanca,casablanca,6000000.0,2,3,Vendre,aïn diab,2.0,142.0,2.0,8,True,True,True,True,True,False,False,False,True,False,True
https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_82_m%C2%B2_%C3%A0_Temara_55690519.htm,Appartement à vendre 82 m² à Temara,temara,660000.0,2,1,Vendre,centre ville,1.0,82.0,2.0,1,False,True,False,False,True,False,False,False,False,False,False
https://www.avito.ma/fr/hay_salam/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Agadir_54949904.htm,Appartement à vendre 78 m² à Agadir,agadir,570000.0,2,1,Vendre,hay salam,1.0,78.0,2.0,3,False,True,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/massira_1/appartements/Appartement_a_vendre__%C3%A0_Temara_54659150.htm,Appartement a vendre à Temara,temara,1480000.0,3,1,Vendre,massira 1,1.0,148.0,3.0,1,False,True,False,False,False,False,False,False,True,False,False
https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_111_m%C2%B2_%C3%A0_Casablanca_55218668.htm,Appartement à vendre 111 m² à Casablanca,casablanca,1450000.0,2,2,Vendre,2 mars,2.0,111.0,2.0,3,True,True,False,False,True,False,False,False,True,False,False
https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Dar_Bouazza_54833290.htm,Appartement à vendre 100 m² à Dar Bouazza,dar bouazza,855525.0946629756,2,2,Vendre,toute la ville,1.0,100.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/autre_secteur/appartements/Appart_a_vendre_avec_garage__%C3%A0_Bouznika_52394624.htm,Appart a vendre avec garage à Bouznika,bouznika,760000.0,4,1,Vendre,autre secteur,2.0,160.0,4.0,1,True,False,False,False,False,False,False,False,False,False,True
https://www.avito.ma/fr/assam/appartements/Appartement_%C3%A0_vendre_67_m%C2%B2_%C3%A0_K%C3%A9nitra_48757649.htm,Appartement à vendre 67 m² à Kénitra,kénitra,390000.0,2,1,Vendre,assam,1.0,67.0,2.0,2,True,False,False,False,True,False,False,False,True,False,True
https://www.avito.ma/fr/sidi_allal_el_bahraoui/appartements/Appartement_a_vendre_a_Menzeh_Sidi_Allal_Bahraoui_55728744.htm,Appartement a vendre a Menzeh Sidi Allal Bahraoui,sidi allal el bahraoui,721767.6958793785,2,1,Vendre,toute la ville,2.0,70.0,8.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/nassim/appartements/appartement_a_vendre__55628254.htm,appartement a vendre,mohammedia,380000.0,2,1,Vendre,nassim,1.0,60.0,2.0,4,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_59_m%C2%B2_avec_piscine_%C3%A0_gueliz_33163327.htm,Appartement 59 m² avec piscine à gueliz,marrakech,590000.0,1,1,Vendre,guéliz,1.0,59.0,0.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/ahlane/appartements/Appartement_%C3%A0_vendre_69_m%C2%B2_%C3%A0_Tanger_55685518.htm,Appartement à vendre 69 m² à Tanger,tanger,11500.0,2,1,Vendre,ahlane,2.0,69.0,2.0,1,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/autre_secteur/appartements/Appartement__90_m%C2%B2_mhamid_7_1etage__55124168.htm,Appartement 90 m² mhamid 7 1etage,marrakech,630000.0,3,1,Vendre,autre secteur,2.0,90.0,3.0,1,False,False,False,True,False,False,False,False,False,False,True
https://www.avito.ma/fr/branes_kdima/appartements/Superbe_appartement_meubl%C3%A9_pour_vente_54267789.htm,Superbe appartement meublé pour vente,tanger,1400000.0,2,1,Vendre,branes kdima,2.0,78.0,2.0,5,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/ain_sebaa/appartements/Appartement_%C3%A0_vendre_78_m%C2%B2_%C3%A0_Casablanca_55175180.htm,Appartement à vendre 78 m² à Casablanca,casablanca,950000.0,2,2,Vendre,ain sebaa,2.0,78.0,2.0,4,True,True,False,True,True,False,False,False,True,False,True
https://www.avito.ma/fr/racine/appartements/Appartement_%C3%A0_vendre_147_m%C2%B2_REMIS_A_NEUF_%C3%A0_RACINE_55444564.htm,Appartement à vendre 147 m² REMIS A NEUF à RACINE,casablanca,2900000.0,3,3,Vendre,racine,3.0,147.0,3.0,2,False,False,False,False,False,False,False,False,False,False,False
https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_247_m%C2%B2_%C3%A0_Marrakech_55714071.htm,Appartement à vendre 247 m² à Marrakech,marrakech,2600000.0,3,2,Vendre,route de casablanca,2.0,247.0,3.0,0,False,False,True,True,True,False,True,False,True,False,True
https://www.avito.ma/fr/roches_noires/appartements/appartement_2_fa%C3%A7ade_boulevard__53912758.htm,appartement 2 façade boulevard,casablanca,940000.0,3,2,Vendre,roches noires,3.0,107.0,3.0,2,True,True,False,False,True,False,False,False,True,False,False
https://www.avito.ma/fr/palmier/appartements/Appt_2_Ch_Salon__Clim__Garage_%C3%A0_Palmier_55694000.htm,"Appt 2 Ch Salon, Clim, Garage à Palmier",casablanca,1550000.0,2,2,Vendre,palmier,2.0,93.0,2.0,4,True,True,False,True,True,False,False,False,True,False,False
https://www.avito.ma/fr/tanja_balia/appartements/_EXCLUSIVITE___Appartement_%C3%A0_vendre_73_m%C2%B2_NEUF_55632753.htm,-EXCLUSIVITE - Appartement à vendre 73 m² NEUF,tanger,820000.0,2,1,Vendre,tanja balia,2.0,72.0,2.0,4,True,True,False,True,True,False,False,False,False,False,False
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_meubl%C3%A9_%C3%A0_vendre_130_m%C2%B2_%C3%A0_Sal%C3%A9__55630759.htm,Appartement meublé à vendre 130 m² à Salé,rabat,1270000.0,3,1,Vendre,autre secteur,3.0,130.0,3.0,3,False,False,False,False,False,False,False,False,False,False,False
